id,latitude,longitude,dataset,datum,error_radius_m,accuracy_square_meters,plant,observer,date,source,county,location_description,location_quality,citation
mg67863,38.622592,-121.276664,mgr,WGS84,10,314,Centromadia pungens,David popp,2018-06-29,NA,Sacramento,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe7322,33.689484,-117.344968,online,WGS84,4,50,Centromadia pungens ssp. laevis,Ron Vanderhoff,2014-07-06,NA,Riverside,"Pasadena Steet, NW of Central Avenue, Lake Elsinore",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe7220,37.754305,-122.204023,online,WGS84,2,10,Centromadia pungens,Mike Perlmutter,2014-06-25,NA,Alameda,Just outside the Oakland Coliseum. Top of left bank of Damon Slough near Coliseum Way next to roadway.,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
wb1194-693,36.73096,-120.29642,online,WGS84,20,1200,Centromadia pungens ssp. pungens,Brian and Eileen Keelan,2012-06-01,NA,Fresno,"Alkali Sink Ec Pres, 0.2 mi S of ... -- Rte 180, 13 mi W of Kerman",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
DAV331654,37.132042,-120.783222,cch2,WGS84,6,113,Centromadia pungens,CNPS SSN-SJV Foothill Team,2008-04-16,UC Davis,Merced,Merced County; Los Banos.,high,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
128832,33.97381,-117.09428,cch2,WGS84,100,31415,Centromadia pungens ssp. laevis,J. George,2012-07-09,Santa Barbara BG,Riverside,"San Timoteo Cyn, W side of San Timoteo Cyn Rd, NE corner of Fisherman's Retreat Lake",medium,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
RSA0086790,33.864444,-117.085972,cch2,WGS84,100,31415,Centromadia pungens ssp. laevis,D. E. Bramlet,2005-07-13,Cal BG,Riverside,"Perris-Aguanga Basin Region; San Jacinto Valley: Bloome Parcel, 2550 ft north of San Jacinto River, 1580 ft south of South Contour Rd., 4700 ft east of Mystic Lake Duck Club.; Lakeview 7.5 Quad",medium,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
697180,33.721542,-117.042648,cch2,WGS84,100,31415,Centromadia pungens ssp. laevis,Jasmine Watts,2005-07-19,Cal BG,Riverside,"Hemet. South of Highway 74, and west of Warren Road.",medium,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
890186,33.744967,-117.041324,cch2,WGS84,100,31415,Centromadia pungens ssp. laevis,Jasmine Watts,2005-07-19,Cal BG,Riverside,"Hemet. South of Highway 74, and west of Warren Road.",medium,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
1162899,33.73071,-117.044569,cch2,WGS84,100,31415,Centromadia pungens ssp. laevis,Jasmine Watts,2005-07-19,Cal BG,Riverside,"Hemet. South of Highway 74, and west of Warren Road.",medium,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
DAV331771,35.61397,-118.48719,cch2,WGS84,4,50,Centromadia pungens ssp. pungens,CNPS SSN-SJV Foothill Team,2008-08-27,UC Davis,Kern,"Kern County; BLM lands - Lake Isabella Area, between Hwy 178 and riparian area.",high,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
15233,37.476477,-122.122753,cch2,WGS84,1,3,Centromadia pungens ssp. pungens,Toni Corelli,2013-08-16,SJSU,San Mateo,"Ravenswood Open Space Preserve, east end of Bay Road, East Palo Alto",high,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
15234,37.432739,-122.074006,cch2,WGS84,1,3,Centromadia pungens ssp. pungens,Toni Corelli,2013-08-16,SJSU,Santa Clara,"Mountain View Shoreline Park, Mountain View",high,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
15235,37.427128,-122.060778,cch2,WGS84,1,3,Centromadia pungens ssp. pungens,Toni Corelli,2013-08-16,SJSU,Santa Clara,"NASA Ames Research Center, Mountain View",high,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
15238,37.25913,-121.844827,cch2,WGS84,152,72583,Centromadia pungens ssp. pungens,Toni Corelli,2013-09-13,SJSU,Santa Clara,"Martial Cottle Park, Branham Lane and Snell Avenue, San Jose",medium,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
JEPS114385,37.185364,-120.397606,cch2,WGS84,10,314,Centromadia pungens ssp. pungens,"Lowell Ahart, John Dittes",2008-08-21,UC/JEPS,Merced,"30 yards southeast of the wire gate on the south side of Sandy Mush Road, 3.7 miles west of Highway 99, about 8.5 miles south-southeast of Merced",high,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
JEPS111721,38.054444,-122.225833,cch2,WGS84,100,31415,Centromadia pungens ssp. pungens,D. G. Kelch,2004-06-19,UC/JEPS,Contra Costa,Crockett Immediately West (almost under) Carquinez Bridge along San Pable Ave.,medium,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
121291,39.275556,-121.765556,cch2,WGS84,100,31415,Centromadia pungens ssp. pungens,Lowell Ahart,2007-07-07,Santa Barbara BG,Sutter,"N side of Penningon Rd, ca. 0.1 mi E of Powell Rd, ca. 5.5 mi W of Live oak",medium,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
RSA0080067,33.97381,-117.09428,cch2,WGS84,100,31415,Hemizonia pungens ssp. laevis,Jeremiah George,2012-07-09,Cal BG,Riverside,"San Timoteo Canyon, west side of San Timoteo Canyon Rd., NE corner of Fisherman?s Retreat Lake.; El Casco 7.5? Q.",medium,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
1008288,33.867639,-117.23575,cch2,WGS84,100,31415,Hemizonia pungens ssp. pungens,Jeremiah George,2011-08-09,Cal BG,Riverside,"Moreno Valley, NW corner of Indian St. and Nandina Ave.; Perris 7.5' Q.",medium,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
