ID,Latitude,Longitude,Dataset,Datum,Error Radius (m),Accuracy: Square Meters,Plant,Observer,Date,Source,County,Location Description,Location Quality,Citation
po34191,33.585345,-117.81796,mgr,WGS84,1,5,Phacelia ciliata,James Bailey,2017-03-24,NA,Orange,"Exposed areas on side of trail, Muddy Canyon Trail, Orange County, CA.",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6682,36.409514,-120.662835,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-05-14,BLM,San Benito,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6687,36.407571,-120.654252,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-05-14,BLM,San Benito,San Carlos Bolsa,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6688,36.407422,-120.654022,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-05-14,BLM,San Benito,San Carlos Bolsa,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6701,36.403245,-120.641481,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-05-14,BLM,San Benito,San Carlos Bolsa,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6816,36.361409,-120.79119,online,WGS84,4,50,phacelia ciliata var. ciliata,Ryan O'Dell,2014-04-15,BLM,San Benito,BLM Clear Creek Management Area,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe6817,36.403085,-120.747669,online,WGS84,2,10,phacelia ciliata var. ciliata,Ryan O'Dell,2014-04-15,BLM,San Benito,BLM Clear Creek Management Area,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe4625,36.882814,-121.39142,online,WGS84,2,10,Phacelia ciliata var. ciliata,Ryan O'Dell,2013-03-12,BLM,San Benito,"Vacant lot immediately to the west of 20 Hamilton Court, Hollister",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
oe1586,36.907352,-121.404247,online,WGS84,6,100,Phacelia ciliata var. ciliata,Mike Loomis,2010-04-03,NA,San Benito,SW corner of Hwy. 156 and San Felipe Rd.,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
UCSC100002090,36.56186,-120.83842,cch2,WGS84,2,12,Phacelia ciliata,Dylan M. Neubauer,2019-03-17,UCSC,San Benito,"(SCoRI) Griswold Creek, east of New Idria Road, 2.42 air-miles south-southwest of Panoche",high,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
5305965,33.64106,-117.84366,cch2,WGS84,5,78,Phacelia ciliata var. ciliata,Ron Vanderhoff,2022-03-12,UCI,Orange,"UCI Ecological Preserve, NE corner, approx 60m S of E Peltason, Irvine",high,"Consortium of California Herbaria [CCH]. 2023. Specimen data from CCH contributing herbaria. Retrieved from Calflora https://www.calflora.org/ Sep 06, 2023."
